open	close	type	description	rev
2/27/05	7/6/07	done	MP3 files are now seekable, thanks to Audiere 1.9.4.0	1.1.00
6/25/05	6/26/05	done	if you load audio files before accessing help for the first time, help file is not found, because loading audio changes current folder; append help file name to app path and retry	1.0.83
3/13/05	3/19/05	done	if undo levels is set to zero, closing a modified document doesn't display a save prompt; in undo manager, NotifyEdit must bump m_Edits regardless of number of undo levels	1.0.83
2/27/05	2/27/05	done	in multi-auto dialog, adjusting position during play sets selected sliders to zero; side effect of adding variable waveforms, OnNewPos must use m_Info.m_Pos instead of GetNormPos	1.0.82
2/24/05	2/25/05	done	starting an auto-trigger turns off audio looping; potentially harmful, so make side effect optional	1.0.82
2/24/05	2/24/05	done	for auto-trigger, automation looping should always be on; disable loop button in auto-trigger dialog	1.0.82
3/8/04	2/24/05	done	in auto-trigger dialog, pressing play forces audio looping off; multi-auto dialog should do the same	1.0.82
2/7/05	2/7/05	done	header sort generates spurious column width undo notifications; header's OnItemChanging should resize column only if width has actually changed	1.0.81
2/6/05	2/7/05	done	current channel should stay visible during sorting	1.0.81
2/1/05	2/7/05	done	implement find for channel titles	1.0.81
1/16/05	2/5/05	done	assign shortcut keys to snapshots; prevent collisions with main shortcut keys	1.0.80
2/2/05	2/3/05	done	opening and closing multi auto dialog generates undo notification; override OnModified to tell view whether to cancel notification	1.0.79
1/25/05	2/2/05	done	set column width should be undoable	1.0.79
12/1/04	2/2/05	done	after channels are deleted, any snapshots that referenced them contain dead channel snaps which waste a lot of space; prune snapshots during doc loading	1.0.79
1/1/05	2/1/05	done	implement undo for all snapshot functions	1.0.79
1/31/05	1/31/05	done	dialog bar undo broken since 1.0.77; CDialogBarEx used to set window ID to res ID, but now that it correctly offsets from AFX constant, ID exceeds 7FFF and mixer thinks it’s a channel	1.0.79
1/29/05	1/29/05	done	CPopupEdit ctor must initialize m_MaxText	1.0.78
1/27/05	1/27/05	done	if you press F1, load an audio file, and then close app, app crashes in Windows DLL code; main frame must initialize and uninitialize HTML help	1.0.78
1/25/05	1/25/05	done	undo edit title doesn't update channel's m_Title; static edit control's RestoreUndoState handler must send change notification	1.0.78
1/19/05	1/21/05	done	still punting on 3/8/04 erratic auto-trigger start point issue, but at least fix it when selection starts at zero; channel rewind can do a Reset instead of a SetPosition in that case	1.0.78
12/30/03	1/21/05	done	add support for HTML help	1.0.78
1/19/05	1/20/05	done	if saving doc causes doc title to change, doc titles in dialog bars aren't updated; captions of volume, snapshot, tempo, and M/S bars are one case, crossfader source list boxes are another	1.0.78
1/17/05	1/19/05	done	add toolbar buttons for load audio and take snapshot	1.0.77
1/17/05	1/17/05	done	if a track with a position slider selection is cloned, and original and clone are edited, trigger edit dialog doesn't show selection; in channel SetInfo, don't set slider selection from audio loop	1.0.77
1/15/05	1/16/05	done	sorting on position in frames gives unexpected results; use normalized position instead	1.0.77
1/15/05	1/16/05	done	sort snapshot list by name or ID	1.0.77
12/1/04	1/16/05	done	snapshot save/restore; undo implemented for restore only	1.0.77
1/14/05	1/14/05	done	number column's header button should sort by channel ID; effectively a sort by creation time	1.0.77
